,degree,betweenness,eigenvector
VA05,35.0,9.350814482882113e-06,0.05682677053449469
AVM,46.0,0.007394113386959028,0.05646273353596017
VB06,50.0,0.0042817538867542465,0.03146882260888051
DA04,42.0,0.0017209250594283044,0.0518490576586125
DD03,123.0,0.00038549222844744236,0.05481513537162889
ALML,27.0,0.003979972273876918,0.021100331039178466
ALMR,13.0,0.0012644095538616033,0.00843449044487454
VC03,47.0,0.011436154885837713,0.021240301022358066
AS05,20.0,0.004819998473184113,0.02562237092927807
VD06,68.0,0.003071348324436272,0.03400089916579521
VA06,39.0,0.00041044443276757724,0.054989323050018975
VB07,12.0,1.2553134387796621e-05,0.01585186854350386
DB05,10.0,0.00011092383684512614,0.029478976820099933
AS06,22.0,0.0031693279765984995,0.021498817179483785
VD07,30.0,0.00018312433196170626,0.014473368630048968
VC04,6.0,0.0017596161535134438,0.0031419339436145493
DA05,35.0,0.0024356477799374263,0.04944844493519238
VC05,15.0,0.001310300034186547,0.0048108085641094585
HSNR,42.0,0.04703708268115232,0.021519617795916934
HSNL,42.0,0.008509830151020185,0.01762205519168948
VA07,33.0,0.0003077467774699781,0.0388251466391945
VB08,31.0,0.0026966619942208722,0.0323421892825418
AS07,15.0,0.0,0.057766626107186296
DD04,71.0,0.0012412767214435246,0.03929533202452712
VD08,2.0,0.00025142720690533046,0.001409766045665104
VA08,54.0,0.007287801988356749,0.08320586324280567
VB09,39.0,0.0005222822976457421,0.06778989140078005
DB06,17.0,0.0,0.05307139305145403
AS08,7.0,0.0,0.031212554082167745
PDEL,20.0,0.0022395616579750947,0.01848646901419363
VD09,27.0,0.00042388363109949846,0.010950427667448661
PDER,65.0,0.010160974295702648,0.06922411777730324
SDQL,16.0,0.0019825770074810784,0.03025800942793118
DA06,27.0,0.00011318585768881326,0.06048354632572449
PVDL,17.0,0.0031983457533956774,0.05931692518953563
PVDR,43.0,7.713277220957027e-05,0.11755280186678979
PVM,21.0,0.0009578617753451064,0.01606499724887175
VA09,49.0,0.01565558595153933,0.049365838953093016
VB10,19.0,0.006031966848572108,0.012566105443445188
AS09,13.0,5.523575127208669e-05,0.024753271875676084
DD05,27.0,0.0002644066409350656,0.01605680054065404
VD10,15.0,0.004005740515167001,0.009834581635422446
VA10,3.0,0.00013835183288012342,0.011045646168994241
VB11,16.0,0.0015383359542690857,0.014208520799527858
DB07,15.0,2.9985464177026706e-05,0.01904817389514835
AS10,6.0,0.0005171344649106059,0.018425373410176343
DA07,5.0,0.0,0.022638357754025742
VD11,6.0,0.0004509089783883634,0.010516127355258401
VA11,28.0,0.0019746665820655263,0.04333895965348302
AS11,19.0,0.00025842693472206247,0.051661618853327575
VD12,13.0,0.00016997065582995702,0.005184985736967465
PVPR,71.0,0.01334505799147875,0.08672642899047699
PVT,46.0,0.018070453255823148,0.0170842479101149
VA12,40.0,0.005805209065578398,0.03532245707455384
DD06,35.0,7.192246757994882e-06,0.009778829474707318
PVPL,58.0,0.004651317259766599,0.07162182222408386
DA08,18.0,0.0027315166566555375,0.03074724421615942
DA09,21.0,0.011251557410850287,0.0307842629196518
PDB,8.0,0.0,0.002879781939372613
VD13,20.0,0.001300533094831421,0.017876868790266637
PDA,8.0,0.003957738561695104,0.002385022551268251
DVB,24.0,0.0016753739112344288,0.010505956510938875
DVA,144.0,0.03135018010736671,0.12021829882196317
DVC,82.0,0.009762666556937855,0.09065730525589677
PVQR,51.0,0.011312414105520937,0.014291243304239237
PHAL,27.0,3.533199244510484e-05,0.02069921848852163
PHAR,20.0,0.0002622063758729034,0.01434747499693726
PVQL,27.0,0.003053118707957704,0.005058177480407128
PLNR,10.0,0.0,0.0019282282789125317
LUAL,22.0,0.004354451752551271,0.051807674957964706
PVCL,147.0,0.025374864381259726,0.17622793953373583
PHBR,43.0,0.00026249057650633517,0.0927290920026179
ALNL,7.0,0.0005328791807703625,0.004002122576727605
PHBL,40.0,0.0007317852760663196,0.1011706917436783
LUAR,21.0,0.0028829323288227173,0.06134868384596843
ALNR,10.0,0.0009607037411450634,0.0038235080899887224
PVCR,130.0,0.037326238797593385,0.15529545788171595
PQR,41.0,7.62806482490663e-05,0.1255176977793731
PVR,47.0,0.0361416967333258,0.03645929209562809
PVWL,13.0,0.0007579567489580198,0.008640665134799691
PVWR,6.0,0.0011629600535246053,0.00979274437802166
PLNL,11.0,0.0,0.003096227189997736
PHCR,15.0,0.0008195801628671973,0.015129742790693523
PHCL,15.0,0.002757279852084438,0.018331151725057983
PVNR,49.0,0.024368784924576493,0.05088454099592279
PLMR,30.0,0.0011478240953135255,0.05385545995343731
PVNL,47.0,0.006296942201472559,0.050570692871029464
PLML,4.0,0.0013085000619119538,0.003038031392629385
